,now,hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,true_heading
0,1669917599.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,4975,5350.0,94.5,119.82,320.0,1200,none,A7,1016.8,12000.0,19.819931,-155.724384,8,186,0.507,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5376972,0.1,-3.4,
1,1669917629.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5100,5475.0,100.3,119.89,256.0,1200,none,A7,1016.8,12000.0,19.813797,-155.711534,8,186,0.043000000000000003,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5377151,0.0,-2.5,
2,1669917659.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5225,5600.0,103.7,129.52,384.0,1200,none,A7,1016.8,12000.0,19.805184,-155.699341,8,186,0.17300000000000001,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5377340,0.2,-2.9,
3,1669917689.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5375,5775.0,101.7,140.99,320.0,1200,none,A7,1016.8,12000.0,19.795315,-155.688305,8,186,0.111,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5377533,0.1,-16.5,
4,1669917719.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5650,6050.0,95.1,157.75,640.0,1200,none,A7,1016.8,12000.0,19.783351,-155.681313,8,186,0.47700000000000004,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5377729,0.1,-3.4,
5,1669917749.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5925,6350.0,98.4,161.01,384.0,1200,none,A7,1016.8,12000.0,19.770596,-155.676369,8,186,0.013000000000000001,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5377931,0.0,-6.3,
6,1669917779.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,6175,6600.0,95.9,163.64,448.0,1200,none,A7,1016.8,12000.0,19.75795,-155.67215,8,186,0.132,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5378129,0.1,-6.3,
7,1669917809.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,6450,6900.0,93.9,154.8,384.0,1200,none,A7,1016.8,12000.0,19.745544,-155.667539,8,186,0.308,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5378320,0.0,-4.1,
8,1669917839.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,6650,7100.0,95.4,150.48,320.0,1200,none,A7,1016.8,12000.0,19.7341,-155.660771,8,186,0.396,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5378516,0.0,-3.2,
9,1669917869.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,6900,7375.0,93.3,149.04,512.0,1200,none,A7,1016.8,12000.0,19.722787,-155.653997,8,186,0.514,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5378710,0.1,-3.5,
10,1669917899.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7050,7525.0,97.2,156.34,256.0,1200,none,A7,1016.8,12000.0,19.710916,-155.647705,8,186,0.538,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5378908,0.0,-4.2,
11,1669917929.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7200,7675.0,95.3,151.82,320.0,1200,none,A7,1016.8,12000.0,19.698761,-155.64179,8,186,0.406,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5379093,0.4,-4.0,
12,1669917959.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7375,7875.0,94.3,145.8,448.0,1200,none,A7,1016.8,12000.0,19.687081,-155.634921,8,186,0.404,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5379284,0.4,-5.1,
13,1669917989.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7650,8175.0,87.3,129.89,576.0,1200,none,A7,1016.8,12000.0,19.678143,-155.625433,8,186,0.036000000000000004,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5379486,0.0,-3.1,
14,1669918019.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7825,8350.0,94.6,123.35,320.0,1200,none,A7,1016.8,12000.0,19.670415,-155.614946,8,186,0.006,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5379683,0.0,-8.5,
15,1669918049.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7950,8475.0,96.6,121.88,256.0,1200,none,A7,1016.8,12000.0,19.663513000000002,-155.602946,8,186,0.676,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5379874,0.7000000000000001,-17.0,
16,1669918079.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8125,8675.0,91.4,127.0,576.0,1200,none,A7,1016.8,12000.0,19.656235,-155.591027,8,186,0.269,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5380064,0.30000000000000004,-15.1,
17,1669918109.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8350,8900.0,90.4,119.12,512.0,1200,none,A7,1016.8,12000.0,19.648443,-155.580389,8,186,0.455,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5380229,0.1,-13.7,
18,1669918139.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8550,9125.0,89.8,127.76,384.0,1200,none,A7,1016.8,12000.0,19.641403,-155.569447,8,186,0.034,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5380415,0.0,-25.9,
19,1669918169.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8750,9325.0,89.9,132.75,320.0,1200,none,A7,1016.8,12000.0,19.63336,-155.559315,8,186,0.109,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5380604,0.1,-14.5,
20,1669918199.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8975,9575.0,85.1,139.76,384.0,1200,none,A7,1016.8,12000.0,19.624282,-155.551025,8,186,0.319,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5380799,0.30000000000000004,-14.7,
21,1669918229.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9100,9700.0,87.7,151.39,448.0,1200,none,A7,1016.8,12000.0,19.614366,-155.542935,8,186,0.265,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5381014,0.30000000000000004,-15.8,
22,1669918259.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9325,9950.0,81.0,167.16,448.0,1200,none,A7,1016.8,12000.0,19.603473,-155.53889,8,186,0.462,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5381234,0.30000000000000004,-8.1,
23,1669918289.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9575,10225.0,75.0,166.89,448.0,1200,none,A7,1016.8,12000.0,19.59288,-155.5359,8,186,0.198,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5381467,0.1,-13.3,
24,1669918319.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9750,10400.0,80.3,175.0,64.0,1200,none,A7,1016.8,12000.0,19.582672,-155.534575,8,186,0.045,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5381705,0.0,-12.6,
25,1669918349.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10050,10725.0,72.8,195.95,640.0,1200,none,A7,1016.8,12000.0,19.57205,-155.534895,8,186,0.336,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5381939,0.30000000000000004,-13.1,
26,1669918379.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10350,11050.0,73.4,207.61,640.0,1200,none,A7,1016.8,12000.0,19.562485,-155.539333,8,186,0.0,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5382176,0.0,-14.3,
27,1669918409.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10650,11350.0,69.4,222.66,576.0,1200,none,A7,1016.8,12000.0,19.554428,-155.545316,8,186,0.068,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5382399,0.1,-15.1,
28,1669918439.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10775,11475.0,78.1,267.06,64.0,1200,none,A7,1016.8,12000.0,19.54953,-155.554586,8,186,0.11900000000000001,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5382628,0.1,-16.6,
29,1669918469.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10775,11475.0,84.2,13.05,0.0,1200,none,A7,1016.8,12000.0,19.556595,-155.561612,8,186,0.619,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5382845,0.30000000000000004,-9.0,
30,1669918499.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10800,11500.0,100.0,91.72,64.0,1200,none,A7,1016.8,12000.0,19.562073,-155.550466,8,186,0.041,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5383070,0.0,-10.2,
31,1669918529.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10750,11450.0,102.0,91.12,128.0,1200,none,A7,1016.8,12000.0,19.560878,-155.535345,8,186,0.335,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5383299,0.1,-12.8,
32,1669918559.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10875,11600.0,78.7,25.59,256.0,1200,none,A7,1016.8,12000.0,19.564742,-155.52291,8,186,0.184,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5383533,0.2,-7.1,
33,1669918589.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10850,11550.0,82.9,250.25,0.0,1200,none,A7,1016.8,12000.0,19.569992,-155.529622,8,186,0.049,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5383760,0.0,-9.2,
34,1669918619.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10875,11575.0,86.2,232.07,64.0,1200,none,A7,1016.8,12000.0,19.562926,-155.53964,8,186,0.275,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5383991,0.0,-19.3,
35,1669918649.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10825,11525.0,85.1,250.07,0.0,1200,none,A7,1016.8,12000.0,19.556396,-155.550515,8,186,0.34600000000000003,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5384220,0.30000000000000004,-9.0,
36,1669918679.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10750,11450.0,84.5,353.88,-64.0,1200,none,A7,1016.8,12000.0,19.56125,-155.559565,8,186,0.315,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5384449,0.2,-11.1,
37,1669918709.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10750,11450.0,97.9,82.37,-128.0,1200,none,A7,1016.8,12000.0,19.568931,-155.550626,8,186,0.06,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5384684,0.1,-11.7,
38,1669918739.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10675,11375.0,101.0,58.36,-128.0,1200,none,A7,1016.8,12000.0,19.573587,-155.536743,8,186,0.026000000000000002,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5384909,0.0,-9.0,
39,1669918769.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10500,11175.0,95.1,33.86,-384.0,1200,none,A7,1016.8,12000.0,19.583083,-155.526756,8,186,0.316,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5385142,0.30000000000000004,-12.8,
40,1669918799.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10250,10925.0,95.3,20.91,-448.0,1200,none,A7,1016.8,12000.0,19.594768,-155.519964,8,186,0.559,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5385371,0.30000000000000004,-8.8,
41,1669918829.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10025,10675.0,84.4,354.56,-128.0,1200,none,A7,1016.8,12000.0,19.606872,-155.514321,8,186,0.364,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5385575,0.1,-4.4,
42,1669918859.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10050,10700.0,91.8,172.49,-128.0,1200,none,A7,1016.8,12000.0,19.603592,-155.519714,8,186,0.185,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5385790,0.0,-9.6,
43,1669918889.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10075,10725.0,93.4,185.53,128.0,1200,none,A7,1016.8,12000.0,19.590775,-155.518635,8,186,0.47800000000000004,2,1.0,9,2,3,perhour,2.0,2,0.0,0.0,[],[],5386015,0.5,-6.3,
44,1669918919.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10200,10875.0,82.9,199.75,448.0,1200,none,A7,1016.8,12000.0,19.578894,-155.522111,8,186,0.642,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5386240,0.30000000000000004,-12.0,
45,1669918949.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,10175,10850.0,76.3,325.68,-384.0,1200,none,A7,1016.8,12000.0,19.576473,-155.529752,8,186,0.526,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5386455,0.5,-14.5,
46,1669918979.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9925,10575.0,97.0,1.77,-512.0,1200,none,A7,1016.8,12000.0,19.588949,-155.529552,8,186,0.263,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5386682,0.1,-9.8,
47,1669919009.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9800,10450.0,96.6,36.16,-256.0,1200,none,A7,1016.8,12000.0,19.601378,-155.526007,8,186,0.531,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5386907,0.30000000000000004,-7.6,
48,1669919039.498,a02b45,adsb_icao,N11QN   ,N11QN,EC30,9675,10325.0,86.5,112.42,-192.0,1200,none,A7,1016.8,12000.0,19.607529,-155.515104,8,186,0.353,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5387138,0.4,-9.5,
