iri,source,version,citation,classification,name,description,aliases,superclassIris,defaultIfc,defaultSymbolIdCode
"http://purl.obolibrary.org/obo/BFO_0000001",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,entity,,,,,
"http://purl.obolibrary.org/obo/BFO_0000002",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,continuant,,,,,
"http://purl.obolibrary.org/obo/BFO_0000003",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,occurrent,,,"http://purl.obolibrary.org/obo/BFO_0000001",,
"http://purl.obolibrary.org/obo/BFO_0000004",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"independent continuant",,,,,
"http://purl.obolibrary.org/obo/BFO_0000006",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"spatial region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000008",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"temporal region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000009",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"two-dimensional spatial region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000011",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"spatiotemporal region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000015",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,process,,,"http://purl.obolibrary.org/obo/BFO_0000003",,
"http://purl.obolibrary.org/obo/BFO_0000016",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,disposition,,,"http://purl.obolibrary.org/obo/BFO_0000017",,
"http://purl.obolibrary.org/obo/BFO_0000017",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"realizable entity",,,"http://purl.obolibrary.org/obo/BFO_0000020",,
"http://purl.obolibrary.org/obo/BFO_0000018",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"zero-dimensional spatial region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000019",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,quality,,,"http://purl.obolibrary.org/obo/BFO_0000020",,
"http://purl.obolibrary.org/obo/BFO_0000020",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"specifically dependent continuant",,,"http://purl.obolibrary.org/obo/BFO_0000002",,
"http://purl.obolibrary.org/obo/BFO_0000023",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,role,,,"http://purl.obolibrary.org/obo/BFO_0000017",,
"http://purl.obolibrary.org/obo/BFO_0000024",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"fiat object part",,,"http://purl.obolibrary.org/obo/BFO_0000040",,
"http://purl.obolibrary.org/obo/BFO_0000026",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"one-dimensional spatial region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000027",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"object aggregate",,,"http://purl.obolibrary.org/obo/BFO_0000040",,
"http://purl.obolibrary.org/obo/BFO_0000028",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"three-dimensional spatial region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000029",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,site,,,,,
"http://purl.obolibrary.org/obo/BFO_0000030",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,object,,,"http://purl.obolibrary.org/obo/BFO_0000040",,
"http://purl.obolibrary.org/obo/BFO_0000031",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"generically dependent continuant",,,"http://purl.obolibrary.org/obo/BFO_0000002",,
"http://purl.obolibrary.org/obo/BFO_0000034",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,function,,,"http://purl.obolibrary.org/obo/BFO_0000016",,
"http://purl.obolibrary.org/obo/BFO_0000035",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"process boundary",,,,,
"http://purl.obolibrary.org/obo/BFO_0000038",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"one-dimensional temporal region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000040",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"material entity",,,,,
"http://purl.obolibrary.org/obo/BFO_0000140",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"continuant fiat boundary",,,,,
"http://purl.obolibrary.org/obo/BFO_0000141",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"immaterial entity",,,"http://purl.obolibrary.org/obo/BFO_0000004",,
"http://purl.obolibrary.org/obo/BFO_0000142",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"fiat line",,,,,
"http://purl.obolibrary.org/obo/BFO_0000144",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"process profile",,,"http://purl.obolibrary.org/obo/BFO_0000015",,
"http://purl.obolibrary.org/obo/BFO_0000145",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"relational quality",,,"http://purl.obolibrary.org/obo/BFO_0000019",,
"http://purl.obolibrary.org/obo/BFO_0000146",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"fiat surface",,,,,
"http://purl.obolibrary.org/obo/BFO_0000147",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"fiat point",,,,,
"http://purl.obolibrary.org/obo/BFO_0000148",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"zero-dimensional temporal region",,,,,
"http://purl.obolibrary.org/obo/BFO_0000182",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,history,,,"http://purl.obolibrary.org/obo/BFO_0000015",,
"http://purl.obolibrary.org/obo/BFO_0000202",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"temporal interval",,,"http://purl.obolibrary.org/obo/BFO_0000038",,
"http://purl.obolibrary.org/obo/BFO_0000203",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"temporal instant",,,"http://purl.obolibrary.org/obo/BFO_0000148",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAACapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAAFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AAARole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Anti-Aircraft Artillery Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AirTransportationInfrastructureItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Air Transportation Infrastructure Item",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/TransportationInfrastructureItem",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AllegianceCode",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Allegiance Code",,,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AnalyticJudgment",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Analytic Judgment",,,"http://www.ontologyrepository.com/CommonCoreOntologies/DescriptiveInformationContentEntity",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/AreaOfOperations",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Area of Operations",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/OperationalArea",,
