,now,hex,type,r,t,alt_baro,gs,true_heading,squawk,lat,lon,nic,rc,seen_pos,version,nac_p,nac_v,sil,sil_type,sda,alert,spi,mlat,tisb,messages,seen,rssi,flight,emergency,category,track,baro_rate,alt_geom,nav_qnh,nav_altitude_mcp,nav_heading,nic_baro,gva,nav_modes,nav_altitude_fms
0,1669852799.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853951,-77.040805,8,186,24.057,0,8.0,1.0,2.0,perhour,2.0,0.0,0.0,[],[],64987892,24.1,-13.8,,,,,,,,,,,,,
1,1669852829.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.040805,8,186,13.973,0,8.0,,2.0,perhour,,0.0,0.0,[],[],64987897,8.9,-13.8,AAL2695 ,none,A3,,,,,,,,,,
2,1669852859.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.040805,8,186,43.973,0,8.0,,2.0,perhour,,0.0,0.0,[],[],64987899,38.9,-13.9,AAL2695 ,none,A3,,,,,,,,,,
3,1669852889.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.040805,8,186,3.876,0,8.0,,2.0,perhour,,0.0,0.0,[],[],64987905,3.9,-13.7,AAL2695 ,,A3,,,,,,,,,,
4,1669852919.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,18.99,0,8.0,,2.0,perhour,,0.0,0.0,[],[],64987913,17.2,-13.7,AAL2695 ,none,A3,,,,,,,,,,
5,1669852949.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,48.99,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64987924,8.8,-13.6,AAL2695 ,none,A3,,,,,,,,,,
6,1669853009.496,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040802,8,186,3.641,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64987940,0.7000000000000001,-12.6,AAL2695 ,none,A3,,,,,,,,,,
7,1669853039.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.04079,8,186,3.8200000000000003,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64987948,3.8,-13.1,AAL2695 ,none,A3,,,,,,,,,,
8,1669853069.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853939,-77.04079,8,186,3.841,2,,,,perhour,,0.0,0.0,[],[],64987965,0.0,-12.7,AAL2695 ,none,A3,,,,,,,,,,
9,1669853099.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,300.94,2162,38.853941,-77.040787,8,186,13.776,2,,,,perhour,,0.0,0.0,[],[],64987978,6.4,-13.7,AAL2695 ,none,A3,,,,,,,,,,
